sample_id,Monocytes,Granulocytes,Lymphocytes,B cells,NK cells,T cells,T cells CD4,T cells CD8
GSM5774504,0.31,0.022000000000000002,0.636,0.0454,0.228,0.26839999999999997,0.1151,0.0909
GSM5774505,0.217,0.0319,0.735,0.08650000000000001,0.134,0.3528,0.1441,0.1338
GSM5774506,0.161,0.0034000000000000002,0.8059999999999999,0.0928,0.0768,0.511,0.2434,0.129
GSM5774507,0.177,0.028399999999999998,0.772,0.032,0.113,0.5086999999999999,0.1868,0.213
GSM5774508,0.255,0.056900000000000006,0.66,0.045599999999999995,0.0246,0.499,0.1789,0.1934
GSM5774509,0.19899999999999998,0.0141,0.748,0.109,0.0602,0.45630000000000004,0.1743,0.1354
GSM5774510,0.192,0.039900000000000005,0.737,0.0599,0.12,0.4525,0.1356,0.1223
GSM5774511,0.198,0.015600000000000001,0.7559999999999999,0.0677,0.0757,0.503,0.217,0.163
GSM5774512,0.18899999999999997,0.0403,0.728,0.047400000000000005,0.0989,0.506,0.209,0.19899999999999998
GSM5774513,0.129,0.0072,0.8390000000000001,0.048799999999999996,0.193,0.499,0.182,0.19699999999999998
GSM5774514,0.21600000000000003,0.0175,0.737,0.0382,0.0775,0.48100000000000004,0.20800000000000002,0.11900000000000001
GSM5774515,0.153,0.0017000000000000001,0.82,0.0355,0.047400000000000005,0.62,0.212,0.22399999999999998
GSM5774516,0.22699999999999998,0.0225,0.718,0.0404,0.114,0.484,0.21600000000000003,0.113
GSM5774517,0.19899999999999998,0.011699999999999999,0.7659999999999999,0.0381,0.134,0.46399999999999997,0.218,0.0898
GSM5774518,0.21100000000000002,0.0059,0.757,0.0409,0.136,0.444,0.22399999999999998,0.08529999999999999
GSM5774519,0.099,0.023799999999999998,0.8320000000000001,0.0904,0.0859,0.55,0.284,0.175
GSM5774520,0.115,0.0059,0.8540000000000001,0.0538,0.18100000000000002,0.5379999999999999,0.217,0.203
GSM5774521,0.177,0.028399999999999998,0.741,0.0528,0.0794,0.523,0.201,0.251
GSM5774522,0.14,0.0024,0.8190000000000001,0.0653,0.24600000000000002,0.40299999999999997,0.221,0.158
GSM5774523,0.142,0.059000000000000004,0.767,0.030299999999999997,0.122,0.521,0.17,0.138
GSM5774524,0.12300000000000001,0.0729,0.7809999999999999,0.0364,0.134,0.525,0.29100000000000004,0.0756
GSM5774525,0.0953,0.011000000000000001,0.856,0.0661,0.207,0.456,0.195,0.168
GSM5774526,0.11800000000000001,0.010700000000000001,0.8370000000000001,0.0768,0.0688,0.579,0.243,0.166
GSM5774527,0.106,0.00075,0.873,0.128,0.168,0.397,0.317,0.0672
GSM5774528,0.057699999999999994,0.00021,0.9229999999999999,0.0719,0.09359999999999999,0.652,0.366,0.275
GSM5774529,0.115,0.0023,0.84,0.0809,0.06269999999999999,0.569,0.33799999999999997,0.19899999999999998
GSM5774530,0.21899999999999997,0.016200000000000003,0.7240000000000001,0.106,0.0984,0.27399999999999997,0.204,0.035699999999999996
GSM5774531,0.10400000000000001,0.0014000000000000002,0.861,0.145,0.056900000000000006,0.488,0.301,0.146
GSM5774532,0.10800000000000001,0.0616,0.8029999999999999,0.0793,0.07690000000000001,0.504,0.265,0.185
GSM5774533,0.106,0.0007099999999999999,0.8759999999999999,0.0958,0.10400000000000001,0.547,0.299,0.22699999999999998
GSM5774534,0.0808,0.00079,0.88,0.122,0.0447,0.5760000000000001,0.353,0.149
GSM5774535,0.14800000000000002,0.0091,0.813,0.062,0.0962,0.53,0.225,0.155
GSM5774536,0.152,0.0079,0.7979999999999999,0.0455,0.113,0.535,0.311,0.059699999999999996
GSM5774537,0.149,0.0194,0.8,0.126,0.105,0.41600000000000004,0.163,0.161
GSM5774538,0.185,0.0022,0.7929999999999999,0.0344,0.18600000000000003,0.439,0.139,0.17600000000000002
GSM5774539,0.14800000000000002,0.0084,0.813,0.0688,0.0696,0.552,0.18600000000000003,0.263
GSM6102371,0.1761,0.020499999999999997,0.7766,0.042,0.1377,0.3638,0.19870000000000002,0.07339999999999999
GSM6102372,0.1067,0.04019999999999999,0.8321,0.0316,0.0481,0.42450000000000004,0.1884,0.12990000000000002
GSM6102373,0.1572,0.051,0.7654000000000001,0.0395,0.08929999999999999,0.33030000000000004,0.1392,0.09609999999999999
GSM6102374,0.18600000000000003,0.0173,0.7805,0.0373,0.1197,0.3851,0.1624,0.0933
GSM6102375,0.1989,0.024900000000000002,0.753,0.0669,0.18030000000000002,0.2812,0.1297,0.07139999999999999
GSM6102376,0.1424,0.0771,0.7556999999999999,0.1027,0.0802,0.43200000000000005,0.21530000000000002,0.1079
GSM6102378,0.1839,0.061500000000000006,0.7256999999999999,0.031200000000000002,0.22510000000000002,0.2754,0.1117,0.0958
GSM6102379,0.1105,0.0144,0.8293,0.1033,0.1523,0.33630000000000004,0.2005,0.0475
GSM6102380,0.24850000000000003,0.0017000000000000001,0.7319,0.0271,0.0621,0.5785,0.3642,0.1105
GSM6102381,0.1434,0.0023,0.8270000000000001,0.0675,0.10949999999999999,0.3876,0.2152,0.0605
GSM6102383,0.33899999999999997,0.049400000000000006,0.5702,0.0233,0.15710000000000002,0.2596,0.1153,0.0751
GSM6102384,0.0819,0.025,0.868,0.059800000000000006,0.025699999999999997,0.5574,0.2345,0.24109999999999998
GSM6102385,0.20929999999999999,0.019799999999999998,0.7484999999999999,0.049699999999999994,0.0723,0.4387,0.2398,0.1568
GSM6102386,0.09390000000000001,0.0005,0.8916,0.048499999999999995,0.1052,0.6920999999999999,0.3207,0.2723
GSM6102387,0.1607,0.026600000000000002,0.7797,0.085,0.14400000000000002,0.4119,0.1957,0.1353
GSM6102388,0.1911,0.0327,0.7101000000000001,0.09029999999999999,0.2237,0.22219999999999998,0.11539999999999999,0.044800000000000006
GSM6102389,0.1967,0.001,0.7745000000000001,0.0464,0.052300000000000006,0.611,0.3686,0.1235
GSM6102390,0.1837,0.0191,0.7151000000000001,0.0355,0.1249,0.368,0.20329999999999998,0.0732
GSM6102391,0.2191,0.1277,0.5858,0.0775,0.0418,0.3358,0.17120000000000002,0.0855
GSM6102392,0.18030000000000002,0.0271,0.7536,0.0836,0.0815,0.4349,0.22949999999999998,0.1009
GSM6102393,0.218,0.0611,0.6737000000000001,0.052199999999999996,0.0678,0.3807,0.17550000000000002,0.09210000000000002
GSM6102394,0.1557,0.036000000000000004,0.767,0.059800000000000006,0.050499999999999996,0.4779,0.1641,0.16440000000000002
GSM6102395,0.2076,0.0013,0.7648999999999999,0.076,0.0338,0.5832,0.34,0.1423
GSM6102396,0.1866,0.0019,0.7936,0.059500000000000004,0.0605,0.6164999999999999,0.359,0.1673
GSM6102397,0.2376,0.0006,0.7454999999999999,0.0381,0.1085,0.5078,0.2826,0.1466
GSM6102398,0.2167,0.0026,0.7565999999999999,0.0388,0.1067,0.5202,0.1993,0.2699
GSM6102399,0.26239999999999997,0.0008,0.7206999999999999,0.1103,0.0688,0.4535,0.2547,0.0863
GSM6102400,0.3234,0.0031,0.6487999999999999,0.0414,0.06570000000000001,0.4717,0.2738,0.1197
GSM6102401,0.2114,0.0007000000000000001,0.7629,0.1096,0.0738,0.48460000000000003,0.30219999999999997,0.0787
GSM6102402,0.175,0.0009,0.8020999999999999,0.0265,0.0736,0.6426000000000001,0.25129999999999997,0.2741
GSM6102403,0.1882,0.039599999999999996,0.737,0.059699999999999996,0.0704,0.34909999999999997,0.0931,0.10099999999999999
GSM6102404,0.3301,0.0455,0.6025,0.0173,0.1937,0.2398,0.1293,0.0398
GSM6102405,0.1531,0.014499999999999999,0.8145,0.0493,0.1128,0.3619,0.1076,0.136
GSM6102406,0.2348,0.0024,0.7429000000000001,0.0745,0.0774,0.3455,0.1783,0.0663
GSM6102407,0.158,0.1392,0.6729999999999999,0.0548,0.0808,0.3435,0.1245,0.09269999999999999
GSM6102409,0.2849,0.014499999999999999,0.6639,0.0736,0.1148,0.275,0.1045,0.0776
GSM6102410,0.2785,0.008,0.6912999999999999,0.0501,0.1808,0.3193,0.16820000000000002,0.060599999999999994
GSM6102411,0.18719999999999998,0.0146,0.7658,0.054900000000000004,0.10289999999999999,0.3618,0.1609,0.0719
GSM6102412,0.16870000000000002,0.0070999999999999995,0.7967,0.0771,0.12390000000000001,0.3115,0.1598,0.051699999999999996
GSM6102413,0.2018,0.0004,0.7898999999999999,0.0276,0.0458,0.6637000000000001,0.32909999999999995,0.2267
GSM6102414,0.183,0.0006,0.7973,0.0745,0.0728,0.5789,0.33799999999999997,0.0933
GSM6102415,0.1815,0.015600000000000001,0.7787999999999999,0.06,0.1149,0.3676,0.13970000000000002,0.15710000000000002
GSM6102416,0.18109999999999998,0.0046,0.7945,0.0273,0.1377,0.29719999999999996,0.114,0.0545
GSM6102417,0.2202,0.0016,0.7340000000000001,0.0351,0.1363,0.49579999999999996,0.2583,0.133
GSM6102418,0.1429,0.0005,0.8276,0.0554,0.0983,0.5648,0.3091,0.1184
GSM6102419,0.228,0.08349999999999999,0.6653,0.0416,0.08650000000000001,0.2825,0.1026,0.07719999999999999
GSM6102420,0.1517,0.013500000000000002,0.8167,0.0555,0.1096,0.3369,0.1794,0.030899999999999997
GSM6102421,0.1577,0.0409,0.7737999999999999,0.0521,0.09380000000000001,0.43700000000000006,0.2119,0.1107
GSM6102422,0.1217,0.05,0.8136,0.0757,0.1421,0.3935,0.2364,0.0313
GSM6102423,0.131,0.052000000000000005,0.8001999999999999,0.0454,0.0554,0.39380000000000004,0.1998,0.055
GSM6102424,0.23420000000000002,0.0227,0.7104,0.0466,0.0735,0.4082,0.1508,0.1572
GSM6102425,0.1438,0.01,0.765,0.06509999999999999,0.1189,0.3921,0.1352,0.1445
GSM6102426,0.1911,0.105,0.6729999999999999,0.0483,0.07339999999999999,0.3807,0.1805,0.0946
GSM6102427,0.16699999999999998,0.0086,0.7981999999999999,0.0555,0.15439999999999998,0.31120000000000003,0.1632,0.0588
GSM6102428,0.1476,0.005,0.7505,0.0451,0.1234,0.322,0.1315,0.1176
GSM6102429,0.1041,0.0179,0.8406999999999999,0.0793,0.0718,0.4882,0.1222,0.2072
GSM6102430,0.1257,0.0159,0.8098000000000001,0.0417,0.0965,0.3872,0.2137,0.0285
GSM6102431,0.1176,0.0455,0.8179000000000001,0.0645,0.0533,0.6093999999999999,0.33549999999999996,0.15869999999999998
GSM6102432,0.15689999999999998,0.0323,0.7967,0.0489,0.035699999999999996,0.6297999999999999,0.3319,0.1578
GSM6102433,0.1391,0.010700000000000001,0.8309000000000001,0.0708,0.0219,0.643,0.3171,0.17370000000000002
GSM6102434,0.1267,0.021400000000000002,0.8348,0.0974,0.0877,0.5589,0.2859,0.14880000000000002
GSM6102435,0.2293,0.0281,0.7227,0.0639,0.12050000000000001,0.43670000000000003,0.2173,0.08689999999999999
GSM6102436,0.1707,0.011699999999999999,0.8029999999999999,0.084,0.128,0.4671,0.1668,0.1796
GSM6102437,0.24309999999999998,0.0129,0.7201000000000001,0.065,0.25780000000000003,0.3031,0.1592,0.0794
GSM6102438,0.1989,0.060899999999999996,0.7201000000000001,0.0698,0.1092,0.3996,0.19260000000000002,0.09609999999999999
GSM6102439,0.2664,0.023,0.6923999999999999,0.0617,0.18539999999999998,0.2984,0.17300000000000001,0.08869999999999999
GSM6102440,0.20629999999999998,0.039900000000000005,0.7441,0.0291,0.2036,0.4022,0.2237,0.0934
GSM6102441,0.1894,0.022099999999999998,0.7746999999999999,0.0707,0.11359999999999999,0.5012,0.2339,0.1326
GSM6102442,0.1612,0.041299999999999996,0.7813,0.0529,0.094,0.5516,0.303,0.126
GSM6102443,0.18289999999999998,0.0059,0.8025,0.050199999999999995,0.2054,0.6033,0.305,0.153
GSM6102444,0.16920000000000002,0.1597,0.6516,0.10619999999999999,0.0753,0.3856,0.20579999999999998,0.08070000000000001
GSM6102445,0.1128,0.0452,0.8254,0.041299999999999996,0.1208,0.5479999999999999,0.31,0.1069
