sample_id,natural_killer_cell,cd8_positive_alpha_beta_cytotoxic_t_cell,b_cell,memory_t_cell,plasma_cell,plasmacytoid_dendritic_cell
Mixture29,0.42184866582919817,0.1226416764355394,0.0,0.3468738806563313,0.07815899542336155,0.030476781655569666
Mixture30,0.19282475078434866,0.3476007120669939,0.09712342789086606,0.28089262624584616,0.049614613765358785,0.03194386924658654
Mixture31,0.3790835533577301,0.14695416822804655,0.052192983916406005,0.3744030304632516,0.0473662640345658,0.0
Mixture32,0.32271568170626536,0.0,0.13415751381248478,0.39181367250596943,0.08469155343440703,0.06662157854087342
Mixture33,0.43636062936564884,0.19370730935521047,0.07245876636704163,0.20782809743521102,0.06205057630342993,0.027594621173458102
Mixture34,0.28002081607659346,0.2229053851425523,0.08046021967257773,0.3529601287425196,0.0,0.06365345036575694
Mixture35,0.3968243277793038,0.15854623475742488,0.06233914483723501,0.2603107728294637,0.0628767069336015,0.05910281286297118
Mixture36,0.3744058415044923,0.0,0.07671229679430068,0.3770055269486958,0.10655884362066688,0.06531749113184435
Mixture37,0.29862234077593436,0.14545840884907715,0.07667975229201358,0.3636567836685981,0.09186475559966183,0.02371795881471495
Mixture38,0.4234803048972723,0.3985598370322603,0.06506759949723254,0.0,0.07936892845434994,0.03352333011888494
Mixture39,0.49084083765108943,0.26960409715977574,0.13578258838359022,0.0,0.0634916657799057,0.04028081102563889
Mixture40,0.446446909980783,0.2558007454307098,0.048191107576202735,0.18005645752927277,0.03666242389260274,0.03284235559042893
Mixture41,0.31843790619247603,0.21482756338403194,0.07242855673938486,0.2786394044423336,0.06882458749282325,0.046841981748950275
Mixture42,0.2950126731579397,0.3894228685400466,0.12143021938436498,0.0,0.11556219790285063,0.07857204101479802
Mixture43,0.2576402218868179,0.2421710226031475,0.0814065529019155,0.24515954561024306,0.10789333080311578,0.06572932619476028
Mixture44,0.3548645890613371,0.3805893182953248,0.1490036063714043,0.0,0.06861958461801249,0.04692290165392136
Mixture45,0.0,0.3216220974248918,0.07338114617730941,0.3949004213245865,0.10271402698235224,0.10738230809086007
Mixture46,0.3695543849061648,0.11235847412105845,0.056060857759633834,0.3563719579620175,0.06283857817280157,0.04281574707832379
Mixture47,0.40073818687181995,0.2999787236019352,0.16074091873428234,0.0,0.09994397843272493,0.038598192359237525
Mixture48,0.35852221686381075,0.2872034624845931,0.040956910775886514,0.2467012692084056,0.06661614066730401,0.0
Mixture49,0.46058017166748205,0.0,0.07315147271559456,0.31055210874415107,0.06919536596972202,0.08652088090305027
Mixture50,0.4142603166896275,0.19431470316093674,0.11353484186882325,0.18064963959802666,0.065011314226696,0.03222918445588993
Mixture51,0.4683957067464826,0.1979100403474026,0.11488986601879239,0.0,0.13749261951385142,0.08131176737347105
Mixture52,0.42095513404896284,0.11836391655775845,0.043684621413232455,0.3836662079070423,0.03333012007300381,0.0
Mixture53,0.3933913179032248,0.16166935299834834,0.13228518977304804,0.17506353189743926,0.07173477900926371,0.06585582841867585
Mixture54,0.351972264341042,0.1598091806995848,0.14147029850010853,0.20176519765690498,0.07216003848091872,0.07282302032144096
Mixture55,0.42598826033181764,0.17008990259524218,0.04943954586361632,0.28300088707367765,0.03517304679154573,0.03630835734410052
Mixture56,0.28767079223481856,0.21092494003835943,0.05405895282139735,0.3944827725669455,0.0,0.05286254233847923
Mixture57,0.3232811341730592,0.19300055107783393,0.12090638665895415,0.23152674330546236,0.08725594558748617,0.04402923919720418
Mixture58,0.21029493821309364,0.21107170479142462,0.0,0.4184826775191331,0.0976207963652014,0.06252988311114718
Mixture59,0.5372964528742225,0.0,0.15359179416249685,0.20027420725963166,0.05970077722827214,0.04913676847537687
Mixture60,0.0,0.3988384027798237,0.16319281606787225,0.341110981163228,0.04801270409132418,0.04884509589775189
Mixture61,0.3541832393934935,0.18094458996076696,0.06875704751950193,0.3088694643972196,0.05586039801714334,0.031385260711874696
Mixture62,0.2842410521084744,0.2190969298925607,0.09693979789695414,0.3228370346005384,0.04920194552705285,0.027683239974419578
Mixture63,0.3504192675279273,0.18154697235785006,0.08647699052902875,0.26162293732673586,0.11993383225845806,0.0
Mixture64,0.305619094337212,0.2600265631251087,0.07718853861013618,0.289210261667413,0.03210717496842777,0.03584836729170248
Mixture65,0.2837459743382355,0.33841344333875356,0.07826628703731342,0.22079790615864225,0.04128663422979935,0.03748975489725583
Mixture66,0.2800507571970612,0.20999681116688043,0.0,0.32035053276775866,0.10748135890107843,0.08212053996722135
Mixture67,0.2194355551597995,0.2957909157069319,0.09253195819499392,0.3468023988479445,0.045439172090330174,0.0
Mixture68,0.431480271457672,0.1431055286326895,0.05448400994939494,0.28897860129294073,0.04375707795271461,0.03819451071458833
Mixture69,0.21026400816290036,0.23992043655737297,0.15191816558216287,0.2524910796939831,0.061520541652967595,0.08388576835061304
Mixture70,0.4012938058918355,0.0,0.1293783912908266,0.30976115230635465,0.10038680787128682,0.059179842639696445
Mixture71,0.25197254429719246,0.18204213351187568,0.14041189646580812,0.3500560817322097,0.0,0.07551734399291404
Mixture72,0.4217175358903882,0.29075964093563234,0.11945072083200253,0.0,0.10085947158660748,0.06721263075536947
Mixture73,0.26929289680073315,0.0,0.11105334611912972,0.43694270382842837,0.11144402425189723,0.07126702899981148
Mixture74,0.34213331938969227,0.23816318551885265,0.12033857839973128,0.19623415114304546,0.07852391100874329,0.024606854539935014
Mixture75,0.36287690616572,0.2181961772412778,0.0691352268111791,0.2662346046608724,0.036652287632482225,0.04690479748846841
Mixture76,0.27885828625686715,0.2726736495945488,0.1003651697783856,0.2625472932123863,0.08555560115781209,0.0
Mixture77,0.2724603599549677,0.13180993331276047,0.11557822544114665,0.35867076706427053,0.07707961626950528,0.04440109795734935
Mixture78,0.0,0.3397254951130137,0.16901080608072871,0.37464318177410866,0.07780122058468417,0.03881929644746475
Mixture79,0.26119909377108297,0.1624739343543664,0.05479720562252093,0.38622888817868534,0.05003157131331733,0.08526930676002696
Mixture80,0.5079706244124369,0.24342298661806022,0.12587143346588509,0.0,0.05765546386837885,0.06507949163523893
Mixture81,0.3409899352892425,0.2253909734684687,0.10637553551356135,0.22032568455866283,0.07726502885016583,0.02965284231989881
Mixture82,0.29465091362743673,0.14784921191215805,0.12262493241805028,0.31495005874512827,0.06043772048011881,0.059487162817107885
Mixture83,0.34523597666633754,0.2493034721888163,0.0,0.3521357220247604,0.02788654996361462,0.025438279156471105
Mixture84,0.3610487201432728,0.13141683921088415,0.06542736396175071,0.29541812072636253,0.0881397040847567,0.0585492518729731
Mixture85,0.4446544424307796,0.31369104015912364,0.056710174953595004,0.16052569488107918,0.0,0.024418647575422506
Mixture86,0.5484847353627618,0.24158710799735517,0.08716173791959081,0.0,0.06383759449078624,0.05892882422950598
Mixture87,0.3234227134726952,0.220442561470681,0.12214241769878029,0.22761996051515665,0.04532897940892264,0.061043367433764185
Mixture88,0.44965641123699834,0.263633387965826,0.14558132142323835,0.0,0.08553098606949627,0.055597893304441065
Mixture89,0.0,0.2859485961023635,0.08617324283482007,0.4797339308416652,0.11626710000938219,0.031877130211769064
Mixture90,0.17676267729377274,0.3018587862150142,0.10914807193472977,0.2780165061047765,0.06717911443898007,0.0670348440127267
Mixture91,0.313179874411958,0.0,0.11074126755082729,0.47264313664231444,0.07602953040477263,0.027406190990127605
Mixture92,0.40225270433609517,0.13529909181680694,0.10175374105364952,0.2784797917345889,0.054807091462584646,0.027407579596274722
Mixture93,0.3331540036442153,0.0,0.1895618914544626,0.272430120410811,0.14238011074053242,0.062473873749978676
Mixture94,0.27990726717781217,0.34217757744908966,0.07405280790442846,0.18580737924026094,0.07224179788101291,0.04581317034739587
Mixture95,0.30121722821369606,0.0,0.15026543607532142,0.4324127187322114,0.0522567338927882,0.06384788308598288
Mixture96,0.26057589169878453,0.0,0.13554521870446481,0.45132914589913137,0.05594331804599337,0.09660642565162589
Mixture97,0.2810145757106269,0.20509395784704024,0.0789948773450634,0.3377696675123496,0.04598334478152113,0.051143576803398795
Mixture98,0.23364269053891917,0.2688809872962614,0.11754962095190587,0.27488914928062536,0.04601947131159683,0.05901808062069142
Mixture99,0.3057315910825104,0.18064510606983963,0.07281894456069246,0.30315028188605364,0.08113335580226656,0.056520720598637254
Mixture100,0.37671912044195266,0.14786493835247144,0.08363577563403246,0.3158563596005902,0.0492340391730922,0.02668976679786101
