sample_id,type_II_pneumocyte,adventitial_cell,mature_NK_T_cell
Mixture55,0.6731385054130311,0.15043853476998273,0.17642295981698616
Mixture56,0.879105049154251,0.060055075238399556,0.060839875607349485
Mixture57,0.8420912731010352,0.0452000656086987,0.11270866129026612
Mixture58,0.8214670815579126,0.0527283286271619,0.1258045898149256
Mixture59,0.7883775775572043,0.0902881043397616,0.12133431810303416
Mixture60,0.7063987787575211,0.09224280655870365,0.20135841468377522
Mixture61,0.775900330353812,0.13325296139498874,0.0908467082511992
Mixture62,0.7571831253824055,0.06739484873159148,0.1754220258860029
Mixture63,0.8608475014420018,0.08210497354441403,0.05704752501358415
Mixture64,0.8282067774359114,0.0640906177577142,0.1077026048063743
Mixture65,0.8720619580939604,0.04237398245225481,0.08556405945378477
Mixture66,0.7842201986740328,0.07471552535102513,0.14106427597494203
Mixture67,0.6801899507702069,0.11472097543176542,0.20508907379802757
Mixture68,0.7409606828865263,0.10513459543150717,0.15390472168196664
Mixture69,0.7690203219874014,0.059017342749994144,0.17196233526260432
Mixture70,0.858483773350611,0.08530440112444022,0.056211825524948814
Mixture71,0.8882322998104145,0.04976897775399124,0.06199872243559432
Mixture72,0.8344330594267535,0.07817038116416365,0.08739655940908293
Mixture73,0.8420660172377861,0.047500517174565896,0.11043346558764812
Mixture74,0.6792165573688909,0.13582025078852897,0.18496319184258017
Mixture75,0.695039143374568,0.1422308919197466,0.16272996470568551
Mixture76,0.6960885725513767,0.14509715710382898,0.15881427034479423
Mixture77,0.8156518528502597,0.09486482929336329,0.08948331785637705
Mixture78,0.7426402101175325,0.11134765399493231,0.1460121358875352
Mixture79,0.8163736543300357,0.08887132602235666,0.09475501964760755
Mixture80,0.8933342179296575,0.0407785589724437,0.06588722309789888
Mixture81,0.7982144924210369,0.07957409292376388,0.1222114146551992
Mixture82,0.7849808560078577,0.051992971361354175,0.16302617263078817
Mixture83,0.8590669590473519,0.05779646766218778,0.08313657329046042
Mixture84,0.7560259929805493,0.1308484272959794,0.11312557972347127
Mixture85,0.7976085964777899,0.0933420226510829,0.10904938087112723
Mixture86,0.8012586899553212,0.1139345629916137,0.08480674705306501
Mixture87,0.7303876078585942,0.17301352876419426,0.09659886337721159
Mixture88,0.8380108488977612,0.08377189753183002,0.07821725357040873
Mixture89,0.8013479534163938,0.07443692878344013,0.12421511780016613
Mixture90,0.8017032220817096,0.1038534638377363,0.09444331408055412
Mixture91,0.8070273589495736,0.10176061215034023,0.09121202890008619
Mixture92,0.8155623682079994,0.0695400175291499,0.11489761426285065
Mixture93,0.7915485307620376,0.04828563862164314,0.16016583061631923
Mixture94,0.8748577079882416,0.035268735119535294,0.0898735568922231
Mixture95,0.8714791684397939,0.057160752402164824,0.07136007915804127
Mixture96,0.9039963580914757,0.04351978989179674,0.052483852016727485
Mixture97,0.7954260196937776,0.08068767693721399,0.12388630336900838
Mixture98,0.7997217004894038,0.09557901750476497,0.1046992820058312
Mixture99,0.7683680214805021,0.10818657493423897,0.12344540358525895
Mixture100,0.8324609275741521,0.047516233288456604,0.12002283913739129
