sample_id,gut_endothelial_cell,CD8_positive_alpha_beta_T_cell,fibroblast,paneth_cell_of_colon,B_cell
Mixture28,0.09266071256904272,0.34247479788904756,0.0,0.2971407823557303,0.2677237071861795
Mixture29,0.24492486216953205,0.3439602562237672,0.2350696268484701,0.1760452547582307,0.0
Mixture30,0.09527377108790921,0.14679895146752228,0.17275128532229264,0.3506865375935566,0.2344894545287191
Mixture31,0.22705062074175825,0.3335221150536257,0.2356387411947573,0.2037885230098587,0.0
Mixture32,0.16937939601870056,0.0,0.3720202367229731,0.3141389751436331,0.14446139211469325
Mixture33,0.11328457960168341,0.29804081383619524,0.2866221242391827,0.15210993414685006,0.14994254817608857
Mixture34,0.23500166578169462,0.28983019723878056,0.3212316307466594,0.0,0.15393650623286542
Mixture35,0.17323738467537247,0.1828313890576588,0.3493851400723713,0.15753592864246366,0.13701015755213378
Mixture36,0.18627254348340352,0.0,0.41687060791238223,0.20530141450262615,0.19155543410158807
Mixture37,0.21323392853199202,0.153727324167534,0.31108222078260606,0.14063989452811373,0.18131663198975415
Mixture38,0.2689675046083195,0.16053389259768655,0.0,0.3256585718039937,0.2448400309900003
Mixture39,0.16178546981689435,0.28351132133158263,0.28068653815646527,0.27401667069505775,0.0
Mixture40,0.09520665214686772,0.17711026094255158,0.36716186255665073,0.26067425763204605,0.09984696672188402
Mixture41,0.1579460992908094,0.19120576177471665,0.251893847340836,0.2381111436969235,0.1608431478967144
Mixture42,0.24794591470958788,0.3166962141593585,0.0,0.2048347084308646,0.23052316270018897
Mixture43,0.1044920866211715,0.28661387861622234,0.20723421014031304,0.2479181960258143,0.15374162859647883
Mixture44,0.14699967475951187,0.2217263482723609,0.34920508662162525,0.0,0.28206889034650195
Mixture45,0.0,0.31844343998761515,0.3309162441939441,0.17985670967554812,0.17078360614289256
Mixture46,0.13636607373087406,0.13055766013530357,0.37144622418637585,0.2767896177552295,0.08484042419221696
Mixture47,0.19606422242301436,0.19973252372967154,0.3278430053907999,0.2763602484565142,0.0
Mixture48,0.08285430080019021,0.1300377396111695,0.4686784248080372,0.3184295347806031,0.0
Mixture49,0.12657047143145206,0.0,0.33396746602795413,0.3498839055060582,0.18957815703453568
Mixture50,0.09004574099912614,0.18018984364309534,0.3656513985155511,0.2734817363740471,0.09063128046818031
Mixture51,0.18158679270432004,0.17947656469861487,0.39812349627940763,0.0,0.24081314631765754
Mixture52,0.0,0.2417904169441714,0.4935667336980491,0.15949058980642924,0.10515225955135023
Mixture53,0.17767242084055215,0.28885712811556125,0.26352607143202694,0.17606831025728198,0.09387606935457771
Mixture54,0.1959747226238588,0.25711347744829227,0.17858046073239772,0.2182957724826172,0.15003556671283408
Mixture55,0.09270540596219869,0.13584944631883034,0.3242267009369,0.2014199569442691,0.24579848983780195
Mixture56,0.0,0.30007719867638594,0.26741410812282873,0.29667769619646606,0.13583099700431922
Mixture57,0.18879671535602904,0.1436740642301373,0.27732573902515795,0.1815559337874602,0.20864754760121557
Mixture58,0.0,0.18238674941416277,0.28497050233813875,0.35680307723724336,0.17583967101045514
Mixture59,0.1821033194472905,0.0,0.2566101826617109,0.33634926515008834,0.2249372327409103
Mixture60,0.2329409416999511,0.21503201774927844,0.44954112998531676,0.0,0.10248591056545371
Mixture61,0.1439605043293346,0.12386090889445658,0.40278373214111224,0.19125952440684724,0.13813533022824936
Mixture62,0.1832215799896101,0.2475361948993543,0.20084561008809085,0.2030815971788777,0.16531501784406705
Mixture63,0.09046116636069712,0.28926926618534154,0.42487914911734215,0.19539041833661921,0.0
Mixture64,0.12511707163920127,0.1480998093832887,0.2864229702838116,0.2879214511889564,0.15243869750474204
Mixture65,0.18115900276256106,0.2296648245057437,0.15345443961648836,0.2857496294844316,0.1499721036307752
Mixture66,0.1351926498866976,0.34343634357634056,0.0,0.2514345105602755,0.2699364959766863
Mixture67,0.18507650235772086,0.1467370669715049,0.40070922860390507,0.2674772020668691,0.0
Mixture68,0.11233360326585218,0.2218299677073677,0.2774249696878665,0.16594678196108464,0.222464677377829
Mixture69,0.1010883829672666,0.13850891949917854,0.3988097940701878,0.12658446630657794,0.23500843715678915
Mixture70,0.1392658182744908,0.0,0.34048127451861354,0.33167119070003703,0.18858171650685865
Mixture71,0.13735448885135365,0.16810358203284886,0.4197698887164143,0.27477204039938313,0.0
Mixture72,0.1679277855507738,0.0,0.37650036685957383,0.25730353359071895,0.1982683139989334
Mixture73,0.2262861279248273,0.0,0.3954903847673823,0.2584247465005892,0.1197987408072011
Mixture74,0.15441321058502633,0.08397109971030955,0.32692733574043653,0.27543897723173044,0.15924937673249712
Mixture75,0.16155789290931827,0.16976319355584085,0.3238558408819996,0.14397212779382296,0.2008509448590184
Mixture76,0.14257695013514396,0.19965070211484018,0.41230921935780274,0.0,0.24546312839221315
Mixture77,0.15972547603242088,0.22224079552484535,0.23338005137208107,0.20380157198290816,0.1808521050877446
Mixture78,0.0,0.31751679330457216,0.31500675378341325,0.16054107427541153,0.206935378636603
Mixture79,0.08196942027825213,0.09619220385078106,0.32601728784788325,0.30611446384448465,0.18970662417859882
Mixture80,0.20684943617737933,0.0,0.19755335546307476,0.3449234145458454,0.25067379381370053
Mixture81,0.14454345166575064,0.17252900889057043,0.3180953405299423,0.22927326391917485,0.13555893499456187
Mixture82,0.10092074444007493,0.19707410375221596,0.25487560060936965,0.3044471323019598,0.14268241889637973
Mixture83,0.16330307787267534,0.2358821251043986,0.0,0.38748150871313997,0.2133332883097861
Mixture84,0.10513489084072405,0.2443692395415625,0.20921507293119473,0.2147405541490253,0.2265402425374934
Mixture85,0.0,0.13209910909088934,0.5204775248863064,0.20054411825591376,0.1468792477668904
Mixture86,0.15934308831200278,0.32275070272319495,0.0,0.2203073772802682,0.2975988316845341
Mixture87,0.11865304271952976,0.13873527784943054,0.37335478869037414,0.18021836281510256,0.18903852792556292
Mixture88,0.19026556563538657,0.11749360319394433,0.4188010008767397,0.0,0.27343983029392943
Mixture89,0.165152439296534,0.0,0.23014853437282046,0.24455666568086884,0.3601423606497767
Mixture90,0.1355657878643851,0.1677565797528156,0.3337907804146062,0.16415525476833634,0.19873159719985678
Mixture91,0.1035768441470569,0.30602950104150045,0.2696378634271132,0.0,0.3207557913843294
Mixture92,0.12664996884956586,0.16095998128897243,0.3844574813927676,0.2114861276942173,0.11644644077447676
Mixture93,0.2505579066919379,0.0,0.2200100877054508,0.41097952469087984,0.11845248091173148
Mixture94,0.1170550138458739,0.2896996143018728,0.27797756680918584,0.14048753572280598,0.17478026932026147
Mixture95,0.14400432009821562,0.36119511746718275,0.24156878367724308,0.2532317787573586,0.0
Mixture96,0.10641579568207553,0.0,0.3938864568148697,0.3403434489530823,0.15935429854997246
Mixture97,0.20449313448964818,0.1886950952370678,0.1856806008028478,0.29595317583053493,0.1251779936399014
Mixture98,0.18393268214227051,0.10883258265914522,0.22381591765936099,0.3298973587714891,0.15352145876773413
Mixture99,0.18912619539468456,0.18918548717593817,0.2241674852970249,0.20648985293596708,0.1910309791963853
Mixture100,0.16749661102165556,0.28092830829612664,0.2051774494976608,0.2153243688338397,0.13107326235071726
