sample_id,fibroblast,endothelial_cell,myofibroblast_cell,macrophage
Mixture50,0.37536967367598423,0.36315689623302466,0.08476752441771811,0.17670590567327302
Mixture51,0.3985269526082649,0.2666863883000467,0.1084322432804081,0.22635441581128024
Mixture52,0.4160333489129773,0.2837077132731821,0.20879514008150138,0.09146379773233934
Mixture53,0.28541590071362677,0.42864366956441324,0.10780743682897494,0.178132992892985
Mixture54,0.4077618203704064,0.30867132606797004,0.15487270639108336,0.12869414717054023
Mixture55,0.3336569259475194,0.4117344196850402,0.12610307821715994,0.1285055761502805
Mixture56,0.24956170961222734,0.4632628608328029,0.140946299819692,0.14622912973527774
Mixture57,0.33131900999999014,0.3247703263515114,0.11958302326364846,0.22432764038484992
Mixture58,0.3043729213906434,0.24114028497297726,0.2239250835149763,0.23056171012140306
Mixture59,0.38037415102208283,0.24095566140018748,0.15684305679833643,0.2218271307793932
Mixture60,0.4910302543415816,0.30689175166259597,0.10008114177125553,0.10199685222456686
Mixture61,0.5007140419419628,0.23432998447534198,0.1376795414557195,0.12727643212697562
Mixture62,0.44947882296018454,0.25453889295145665,0.1645864394444618,0.131395844643897
Mixture63,0.2020893144553154,0.43752525106610113,0.21594586064658486,0.14443957383199868
Mixture64,0.32606201331341417,0.2706694969794544,0.19897343662228095,0.20429505308485052
Mixture65,0.22884714257047328,0.4087661212119689,0.145283231756701,0.2171035044608568
Mixture66,0.3507549954821104,0.3745244532771949,0.1261317164062341,0.14858883483446053
Mixture67,0.3723567724037156,0.3090074193414485,0.1097855387906482,0.20885026946418767
Mixture68,0.42705691449587235,0.21943099474118496,0.1980642493071331,0.15544784145580962
Mixture69,0.40972731856540573,0.35626887287586423,0.0954702080836652,0.1385336004750648
Mixture70,0.24897888643242447,0.3880251445381185,0.1995251912634188,0.1634707777660383
Mixture71,0.24440335615866782,0.3745348056715905,0.20060011816841392,0.18046172000132782
Mixture72,0.2952017743097898,0.31710500093487076,0.18678548274489834,0.2009077420104411
Mixture73,0.3445711308627883,0.29144882187813104,0.10062436562959885,0.26335568162948186
Mixture74,0.1862176673486675,0.4498687862536023,0.22877965512675522,0.135133891270975
Mixture75,0.3136670682705195,0.39891058524883005,0.1861323919145947,0.10128995456605566
Mixture76,0.30709396348357904,0.35859409569408474,0.12082541252320915,0.21348652829912695
Mixture77,0.27656831840459445,0.3307450013191659,0.1855217325624232,0.20716494771381644
Mixture78,0.3091200393762971,0.30236458221420864,0.23460218248120956,0.15391319592828467
Mixture79,0.255264380852861,0.36945360142318767,0.1553351382662051,0.2199468794577462
Mixture80,0.3892507491730191,0.34696449607615776,0.1741306185304313,0.0896541362203918
Mixture81,0.3436624351591478,0.2967587683237797,0.1627910587687583,0.19678773774831418
Mixture82,0.47668238796549867,0.2465677677325531,0.10321505342053193,0.1735347908814163
Mixture83,0.3376969491762708,0.3142796419057489,0.1768549335424229,0.17116847537555743
Mixture84,0.3744317244325675,0.30703238113109255,0.16641973651162603,0.15211615792471386
Mixture85,0.42587103044109015,0.18398472364631877,0.24749061344676407,0.14265363246582713
Mixture86,0.4687375504136522,0.22478607361023165,0.15566736733234915,0.15080900864376698
Mixture87,0.3648573162359619,0.263110913299813,0.2092987405631083,0.1627330299011168
Mixture88,0.4447974979645859,0.1459829443714789,0.21011845395222978,0.19910110371170542
Mixture89,0.48876301744717915,0.21928036414994131,0.1988561185579709,0.09310049984490865
Mixture90,0.42534545115704675,0.22759960085422895,0.14101528530190108,0.20603966268682325
Mixture91,0.3309123887453158,0.283424803802302,0.2550674145729123,0.13059539287946986
Mixture92,0.20464291516351996,0.4056066601245872,0.15424185576963043,0.23550856894226244
Mixture93,0.4156321683351011,0.4023250589897323,0.08670015363106218,0.09534261904410442
Mixture94,0.43885217722543474,0.2759445407727724,0.19605574943675735,0.08914753256503548
Mixture95,0.3298430546991834,0.3330613132305778,0.19375465615132278,0.14334097591891604
Mixture96,0.20936856068954748,0.3845005170241966,0.2053723303856793,0.20075859190057652
Mixture97,0.33620604384293534,0.3339795596556405,0.15440540340380177,0.1754089930976224
Mixture98,0.3964399131452732,0.3035319943020502,0.11037709936136372,0.1896509931913129
Mixture99,0.4216553314603514,0.31128445782399444,0.10856824060899734,0.1584919701066568
Mixture100,0.29682571009284353,0.3053122692477717,0.15945599547711184,0.23840602518227288
