sample_id,basal_cell,ciliated_cell,endothelial_cell
Mixture75,0.7399448444406873,0.14629000597403935,0.11376514958527338
Mixture76,0.7400793840314209,0.14904017274428052,0.11088044322429857
Mixture77,0.8443039988993062,0.09487021575803281,0.06082578534266095
Mixture78,0.7849505599886866,0.11370395053444374,0.10134548947686962
Mixture79,0.8464590515349253,0.08902444447440075,0.06451650399067385
Mixture80,0.9153035475954721,0.04036581175061879,0.04433064065390906
Mixture81,0.8355240409039586,0.08047142246443627,0.08400453663160506
Mixture82,0.8330762211262476,0.05330905087610893,0.11361472799764347
Mixture83,0.8860936301106805,0.05759496714336704,0.05631140274595233
Mixture84,0.7902203401079103,0.1321327955570759,0.07764686433501379
Mixture85,0.8313633689127076,0.09399589899467985,0.07464073209261259
Mixture86,0.828582303737933,0.11382798068766853,0.057589715574398556
Mixture87,0.7600496890608512,0.17393993087867482,0.06601038006047397
Mixture88,0.863654545133791,0.0834102483446048,0.05293520652160415
Mixture89,0.8392553863341083,0.07531684006659632,0.08542777359929525
Mixture90,0.8315933850117958,0.10407562383152912,0.06433099115667516
Mixture91,0.8360924054227051,0.10185359703534871,0.06205399754194618
Mixture92,0.8511427812772016,0.0701149578418971,0.07874226088090129
Mixture93,0.8390599839861191,0.04944974787061441,0.11149026814326635
Mixture94,0.9038258900409842,0.03520204379422711,0.06097206616478857
Mixture95,0.8951433913213539,0.05672365091625703,0.04813295776238898
Mixture96,0.9219686808848756,0.04288119869715991,0.03515012041796453
Mixture97,0.8331396060567253,0.08164993413555009,0.08521045980772449
Mixture98,0.8323359602483907,0.09610654814605014,0.07155749160555917
Mixture99,0.8054570175115645,0.10956632602996472,0.08497665645847073
Mixture100,0.8696983943537802,0.04795981013698879,0.08234179550923104
