sample_id,CD8_positive_alpha_beta_T_cell,B_cell,paneth_cell_of_epithelium_of_small_intestine,fibroblast
Mixture37,0.15962485451922448,0.20887562712079638,0.5468731396224485,0.08462637873753052
Mixture38,0.25299282034539183,0.1738159095635239,0.4441843013144275,0.12900696877665666
Mixture39,0.17339378745344336,0.1474119342862463,0.57656947188188,0.10262480637843029
Mixture40,0.2606975365907518,0.1538188284646281,0.5006487640631389,0.08483487088148133
Mixture41,0.22572323014095474,0.15059962767928947,0.5132845951801774,0.11039254699957841
Mixture42,0.23121799493537504,0.11758431831830983,0.5457883459247446,0.10540934082157047
Mixture43,0.1926882091639935,0.11959352736998971,0.5724482840760429,0.11526997938997398
Mixture44,0.18177453134867586,0.1740130396819975,0.478973187539073,0.16523924143025362
Mixture45,0.22451843386723191,0.17543406416254656,0.45809666784049935,0.14195083412972215
Mixture46,0.27638368659472246,0.13319954234355547,0.4732520607184208,0.11716471034330124
Mixture47,0.2461899926175385,0.16807057834928593,0.48347619108587675,0.10226323794729886
Mixture48,0.22947230515680186,0.17479488913339336,0.3622015619742747,0.23353124373553008
Mixture49,0.27202997608626867,0.1874476448647057,0.40622056578336396,0.1343018132656617
Mixture50,0.29030774124596637,0.27800008543899685,0.300642980609289,0.13104919270574783
Mixture51,0.28945705677211697,0.19172488817458355,0.36116613421613725,0.15765192083716228
Mixture52,0.23881624813656152,0.1611974136814241,0.5496398933973886,0.05034644478462582
Mixture53,0.2075905579045394,0.3085865874677572,0.3595839401132818,0.12423891451442155
Mixture54,0.26359561033613266,0.19750545801024513,0.4591225632734938,0.0797763683801284
Mixture55,0.23127015652200184,0.28248007770245903,0.4008365103243595,0.08541325545117961
Mixture56,0.16696578144721722,0.3067808220989088,0.4324394794406388,0.09381391701323527
Mixture57,0.23393524340667513,0.22697438168408457,0.3872050060873227,0.15188536882191753
Mixture58,0.16994210724075892,0.13326495469411154,0.5733500645099057,0.12344287355522392
Mixture59,0.2452678848012259,0.15378643315170012,0.4637854524923642,0.13716022955470966
Mixture60,0.36330602215248947,0.22475054888197182,0.33957736263134536,0.07236606633419329
Mixture61,0.33693493877541714,0.15607571765968414,0.4248619346512056,0.08212740891369302
Mixture62,0.284085635335175,0.1592375144991215,0.47704156818436266,0.07963528198134083
Mixture63,0.11456553506522084,0.24550761062079737,0.5614067826613106,0.07852007165267116
Mixture64,0.19153715407327981,0.15737775290869416,0.5360065044507618,0.11507858856726433
Mixture65,0.15176711794150435,0.26832323830063215,0.441844872272003,0.13806477148586047
Mixture66,0.2431792925882558,0.2570124160614022,0.4010228931814012,0.0987853981689408
Mixture67,0.2694432074587766,0.22132378531536123,0.364313491460818,0.14491951576504425
Mixture68,0.2509719891881868,0.12764054991748244,0.533786666907186,0.08760079398714476
Mixture69,0.3073670869274283,0.2645401035443945,0.32843727728220995,0.09965553224596728
Mixture70,0.14604556029044813,0.22528740268399897,0.5367174422473072,0.09194959477824582
Mixture71,0.14308517805810417,0.21703554475960168,0.5385683180275934,0.1013109591547006
Mixture72,0.17801417856859414,0.18927354750279654,0.5165363445165412,0.11617592941206804
Mixture73,0.2557990726047811,0.21415764442452187,0.3425668760787712,0.1874764068919259
Mixture74,0.1028690842702676,0.2459807110031992,0.5795668370521377,0.07158336767439542
Mixture75,0.18904475713817506,0.23797014380386394,0.5144460125989799,0.05853908645898112
Mixture76,0.21613537803206506,0.24980947963234454,0.389973414827732,0.14408172750785836
Mixture77,0.1672747911090305,0.19800335821758042,0.5145706282854416,0.12015122238794737
Mixture78,0.16874745154542953,0.1633774753799709,0.5873057396473085,0.08056933342729103
Mixture79,0.16530394329431314,0.23681221478501546,0.4613014695842711,0.1365823723364003
Mixture80,0.2406954879902922,0.21236098387127617,0.49378258533657804,0.05316094280185365
Mixture81,0.21852575071057445,0.18677782655074324,0.47470438115776364,0.11999204158091857
Mixture82,0.35037936354794647,0.17938945739731746,0.34791615033177326,0.12231502872296286
Mixture83,0.20794844601114704,0.19155610225202294,0.4994222144015474,0.10107323733528267
Mixture84,0.23587993376140165,0.1914492809678141,0.48077881603139183,0.0918919692393924
Mixture85,0.2265590331522717,0.0968804725996368,0.6037875458590805,0.07277294838901098
Mixture86,0.30246636145252276,0.14357140059330892,0.46064573124020186,0.09331650671396646
Mixture87,0.20954926554970255,0.1495729797410985,0.551254100769757,0.08962365393944202
Mixture88,0.25507483904095807,0.08286260917732628,0.5525754890373252,0.1094870627443904
Mixture89,0.2863263138541474,0.12714926921604655,0.534224766108642,0.052299650821164057
Mixture90,0.28453483481102215,0.15070107375837172,0.4325954783295221,0.1321686131010841
Mixture91,0.17358093555400148,0.14715602652017656,0.6135728194733944,0.06569021845242767
Mixture92,0.13294680066887987,0.26081793625670585,0.4595212008300355,0.14671406224437875
Mixture93,0.31901051771785166,0.3056498115809195,0.30516719828540617,0.07017247241582267
Mixture94,0.25867221431110815,0.16099208678340954,0.5299479794753008,0.050387719430181485
Mixture95,0.19569478022454198,0.19559028877622778,0.5271645289021304,0.08155040209709992
Mixture96,0.12142416778668577,0.22072005516467963,0.5462075937472276,0.11164818330140701
Mixture97,0.21788135252862384,0.21423263710309293,0.45888004797779375,0.1090059623904895
Mixture98,0.28625583182941167,0.21693650848224463,0.36549217407188667,0.131315485616457
Mixture99,0.3056294462626468,0.22332957304326212,0.3608797664599976,0.11016121423409354
Mixture100,0.19040903141846913,0.19385699899777872,0.469082267738224,0.14665170184552823
